"Date","Pdmax","Estacao_codigo","BaciaCodigo","SubBaciaCodigo","Altitude","AreaDrenagem","NomedoRio","Latitude","Longitude"
"01/10/1978",119.4,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1979",119.2,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1981",127.6,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1982",146.8,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1983",189.8,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1984",121.6,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1985",148.3,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1986",155.6,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1987",119.8,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1988",114.2,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1989",148.6,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1992",142.3,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1993",110.2,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1994",232.7,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1995",183.4,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1996",127.9,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1997",103.4,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1998",96.1,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/1999",102.4,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2000",134.2,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2001",130.3,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2002",113.7,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2003",150.4,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2004",145.9,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2005",146.2,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2006",147.6,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2007",147.8,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2010",149.9,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2011",80.5,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2013",151.6,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2014",102.8,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2016",130.7,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2019",168,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
"01/10/2020",130.2,47002,3,32,-99999,-99999,-99999,-0.6231,-47.3536
