n.serie;min;max;media;desv.pad;mediana;assimetria;l.assimetria;curtose;l.curtose
15;0,00;73,00;47,23;10,16;40,60;-0,85;-0,14;1,38;-0,15
18;17,70;116,00;66,49;18,03;62,55;0,02;0,00;2,12;0,04
29;36,00;139,60;77,76;22,28;74,20;0,51;0,11;2,80;0,12
38;45,20;158,00;85,04;25,74;80,70;0,86;0,17;3,66;0,16
51;53,00;186,10;93,88;30,34;89,00;1,30;0,24;5,13;0,21
75;64,90;257,40;108,36;41,18;103,30;2,40;0,35;11,05;0,31
112;105,00;665,30;237,63;176,63;227,20;6,64;0,53;52,16;0,57
41,35;43,77;169,74;86,35;27,33;81,96;0,99;0,17;4,75;0,17
0,91;-0,43;3,00;1,76;4,82;1,23;1,83;0,18;4,86;0,51
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
