Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
47002;34;123,274;123,151;22,817;24,356;124,376;124,173;123,2;24,839;24,657;24,354;0,101;0,077;0,004
47003;31;110,903;110,113;28,541;33,778;115,8;115,752;111,422;35,711;34,818;33,069;0,328;0,312;0,088
47004;38;99,087;98,926;17,351;18,985;101,302;102,131;99,502;20,855;20,441;18,948;0,25;0,31;0,065
47005;22;94,985;95,587;29,351;23,732;91,408;89,432;92,181;19,046;15,288;17,211;-0,34;-0,629;-0,242
47006;26;110,166;109,687;30,944;35,843;115,147;117,008;110,751;38,373;37,74;35,187;0,31;0,384;0,069
47007;22;86,149;86,647;23,832;22,048;84,722;85,76;85,53;20,495;21,48;21,42;-0,143;-0,075;-0,098
48006;34;84,844;83,792;23,134;29,733;87,221;87,092;85,283;27,069;28,915;28,344;0,205;0,21;0,114
49009;18;86,713;87,683;25,117;21,72;85,167;84,553;85,906;21,485;18,68;19,681;-0,148;-0,287;-0,147
49010;19;64,763;65,327;23,097;21,676;65,269;64,965;64,19;24,076;21,373;20,802;0,047;-0,031;-0,101
49011;18;81,613;82,199;22,171;20,925;82,088;82,322;81,193;23,09;21,023;20,238;0,046;0,011;-0,094
51005;24;69,005;69,153;16,291;16,168;68,878;69,291;68,676;16,029;16,241;16,02;-0,017;0,016;-0,059
52000;33;72,452;72,085;15,638;17,32;73,32;72,34;71,958;17,206;17,375;17,326;0,115;0,025;-0,014
52003;20;77,107;77,673;19,556;17,394;75,778;76,417;76,524;16,378;16,397;16,437;-0,165;-0,137;-0,123
60000;19;80,741;81,655;27,01;22,361;77,991;76,7;79,182;19,695;16,723;18,604;-0,267;-0,483;-0,19
60001;24;68,068;67,033;18,036;23,107;71,761;69,622;67,785;23,137;23,08;22,329;0,385;0,212;0,08
61000;44;80,095;80,488;22,377;19,795;77,868;78,933;78,973;16,498;18,618;18,605;-0,259;-0,135;-0,129
61001;25;82,631;81,893;18,698;22,221;85,011;84,288;82,288;22,466;22,593;22,042;0,25;0,198;0,039
63000;34;89,405;89,523;22,724;23,685;90,514;91,347;89,659;24,757;24,465;23,686;0,102;0,143;0,012
63001;18;74,993;74,941;17,52;19,481;76,36;76,641;74,974;19,889;19,71;19,463;0,159;0,161;0,004
65001;33;76,337;76,694;18,18;17,021;76,157;76,093;75,833;17,808;16,534;16,371;-0,022;-0,067;-0,098
66000;36;91,355;91,565;13,596;12,732;90,909;91,042;90,917;12,623;12,337;12,273;-0,075;-0,078;-0,099
67002;20;100,991;101,738;18,856;15,396;98,862;99,334;100,121;12,95;12,823;13,202;-0,306;-0,311;-0,178
144002;20;81,038;80,04;30,199;38,27;86,786;88,595;81,3;38,343;38,057;36,631;0,361;0,436;0,084
145006;35;89,139;88,309;19,519;23,792;91,847;91,602;89,363;23,719;24,115;23,249;0,27;0,258;0,098
146005;37;75,389;75,403;13,809;14,417;76,55;76,795;75,51;15,799;15,149;14,436;0,17;0,176;0,015
146008;40;68,802;69,019;16,403;15,858;68,08;68,882;68,591;14,783;15,788;15,711;-0,102;-0,016;-0,054
146009;40;91,206;90,859;29,688;31,382;92,181;90,932;90,359;31,533;31,409;31,275;0,07;0,004;-0,03
146010;27;87,831;88,16;21,223;20,495;88,796;88,894;87,31;23,004;21,102;19,908;0,095;0,066;-0,081
146011;21;73,475;73,864;23,853;23,242;75,165;75,989;72,96;26,821;24,969;22,68;0,145;0,165;-0,077
147002;49;80,078;79,943;21,464;22,875;80,197;80,98;80,198;21,702;23,169;22,876;0,012;0,084;0,023
147007;41;87,784;89,027;41,348;33,574;82,86;81,71;84,271;27,335;24,85;26,405;-0,329;-0,453;-0,238
147008;32;67,922;67,819;16,956;18,285;69,741;70,57;68,104;19,941;19,612;18,28;0,213;0,275;0,033
147010;34;82,115;82,66;22,485;19,452;80,099;80,486;80,92;17,339;17,445;17,601;-0,228;-0,218;-0,163
147011;37;80,745;80,879;20,117;19,763;80,201;80,426;80,183;18,944;19,538;19,499;-0,061;-0,04;-0,065
147016;28;75,197;75,669;22,088;20,048;74,204;73,909;74,172;19,854;18,536;18,68;-0,105;-0,161;-0,133
147017;29;90,167;90,071;16,635;17,701;91,903;91,21;90,04;19,501;18,209;17,697;0,208;0,115;-0,004
147018;21;72,206;72,441;23,649;23,668;71,936;72,429;71,777;23,087;23,663;23,601;-0,025;-0,001;-0,055
147019;22;73,62;73,711;14,817;15,444;74,72;75,784;73,615;16,737;16,567;15,449;0,151;0,248;-0,014
148001;22;85,679;86,261;19,637;17,54;84,25;85,16;85,168;16,17;16,734;16,737;-0,178;-0,117;-0,116
148002;62;83,607;83,696;19,617;19,637;83,542;83,718;83,399;19,485;19,648;19,528;-0,007;0,002;-0,029
