Estação;Data;P [mm];Filtro;Estação;Data;P [mm];Filtro;Estação;Data;P [mm];Filtro
57000;1987;99,4;kappa > 0,50;1757003;1996;104,4;kappa > 0,50;2452012;1966;55;Mais de 5 anos consecutivos sem dados
57000;1993;98,5;kappa > 0,50;1757003;1997;135,6;kappa > 0,50;2452012;1967;86,2;Mais de 5 anos consecutivos sem dados
57000;1995;108,1;kappa > 0,50;1757003;1998;125,3;kappa > 0,50;2452012;1968;73,5;Mais de 5 anos consecutivos sem dados
57000;1996;145,2;kappa > 0,50;1757003;2000;125,6;kappa > 0,50;2452012;1969;74,1;Mais de 5 anos consecutivos sem dados
57000;1997;40,7;kappa > 0,50;1757003;2001;102,1;kappa > 0,50;2452012;1970;153,1;Mais de 5 anos consecutivos sem dados
57000;1998;86,6;kappa > 0,50;1757003;2004;87,8;kappa > 0,50;2452012;1971;74,4;Mais de 5 anos consecutivos sem dados
57000;1999;110,9;kappa > 0,50;1757003;2005;107,6;kappa > 0,50;2452012;1972;80;Mais de 5 anos consecutivos sem dados
57000;2000;107,6;kappa > 0,50;1757003;2006;76,2;kappa > 0,50;2452012;1973;74;Mais de 5 anos consecutivos sem dados
57000;2004;65;kappa > 0,50;1757003;2007;135;kappa > 0,50;2452012;1974;72;Mais de 5 anos consecutivos sem dados
57000;2005;95,3;kappa > 0,50;1757003;2008;114,4;kappa > 0,50;2452012;1976;109,2;Mais de 5 anos consecutivos sem dados
57000;2006;115,7;kappa > 0,50;1757003;2010;56,5;kappa > 0,50;2452012;1977;79;Mais de 5 anos consecutivos sem dados
57000;2007;90,3;kappa > 0,50;1757003;2011;113;kappa > 0,50;2452012;1978;137;Mais de 5 anos consecutivos sem dados
57000;2008;107,9;kappa > 0,50;1757003;2017;147,1;kappa > 0,50;2452012;1979;98,8;Mais de 5 anos consecutivos sem dados
57000;2009;107,1;kappa > 0,50;1757003;2018;110,6;kappa > 0,50;2452012;1980;110,6;Mais de 5 anos consecutivos sem dados
57000;2010;103,5;kappa > 0,50;1757003;2019;76,6;kappa > 0,50;2452012;1981;108;Mais de 5 anos consecutivos sem dados
57000;2011;95,3;kappa > 0,50;1757003;2020;120,9;kappa > 0,50;2452012;1982;111,6;Mais de 5 anos consecutivos sem dados
150003;1985;111,2;kappa > 0,50;1845027;1985;70;kappa > 0,50;2452012;1983;106;Mais de 5 anos consecutivos sem dados
150003;1987;81,4;kappa > 0,50;1845027;1986;40;kappa > 0,50;2452012;1984;87,8;Mais de 5 anos consecutivos sem dados
150003;1988;80,6;kappa > 0,50;1845027;1988;40;kappa > 0,50;2452012;1985;115,6;Mais de 5 anos consecutivos sem dados
150003;1989;75;kappa > 0,50;1845027;1990;69,3;kappa > 0,50;2452012;1986;130,6;Mais de 5 anos consecutivos sem dados
